name,ticker,figi,lot,currency,class_code
Beyond Meat Inc,BYND,BBG003CVJP50,1,usd,SPBXM
Turning Point Therapeutics Inc,TPTX,BBG00NPL9WH7,1,usd,SPBXM
Ingredion Inc,INGR,BBG000BXPZB7,1,usd,SPBXM
The Cooper Companies,COO,BBG000BG3445,1,usd,SPBXM
Fair Isaac Corp,FICO,BBG000DW76Y6,1,usd,SPBXM
Loyalty Ventures,LYLT,BBG012QVD574,1,usd,SPBXM
WEX Inc,WEX,BBG000BVZP59,1,usd,SPBXM
Middlesex Water Company,MSEX,BBG000BPGQ60,1,usd,SPBXM
Сегежа,SGZH,BBG0100R9963,100,rub,TQBR
ProPetro Holding Corp,PUMP,BBG00FYCQ352,1,usd,SPBXM
eHealth Inc,EHTH,BBG000P5JQX6,1,usd,SPBXM
Philip Morris,PM,BBG000J2XL74,1,usd,SPBXM
Wabtec Corp.,WAB,BBG000BDD940,1,usd,SPBXM
Black Knight Inc,BKI,BBG00GX77LW3,1,usd,SPBXM
Texas Instruments,TXN,BBG000BVV7G1,1,usd,SPBXM
Arena Pharmaceuticals Inc,ARNA,BBG000BKXBV7,1,usd,SPBXM
"Clover Health Investments, Corp.",CLOV,BBG00SHY90J5,1,usd,SPBXM
Nikola,NKLA,BBG00L4CWQ45,1,usd,SPBXM
Martin Marietta Materials,MLM,BBG000BGYMH7,1,usd,SPBXM
GoDaddy Inc,GDDY,BBG006MDLY05,1,usd,SPBXM
Primerica,PRI,BBG000T8ZF80,1,usd,SPBXM
Coherus BioSciences,CHRS,BBG0063N8V69,1,usd,SPBXM
AMN Healthcare Services Inc,AMN,BBG000BCT197,1,usd,SPBXM
Corsair Gaming Inc,CRSR,BBG00HMSHL83,1,usd,SPBXM
Henry Schein,HSIC,BBG000BNMMJ3,1,usd,SPBXM
Manhattan Associates Inc,MANH,BBG000BFV758,1,usd,SPBXM
Eversource Energy,ES,BBG000BQ87N0,1,usd,SPBXM
Penumbra Inc,PEN,BBG001BP92V1,1,usd,SPBXM
Regions Financial,RF,BBG000Q3JN03,1,usd,SPBXM
Omega Healthcare Investors REIT,OHI,BBG000BGBTC2,1,usd,SPBXM
Greenbrier Cos Inc,GBX,BBG000CF5097,1,usd,SPBXM
